Wave;Abs;bb
643;0.31932;8.09E-05
644;0.32216;8.04E-05
645;0.325;7.98E-05
646;0.328;7.93E-05
647;0.331;7.88E-05
648;0.334;7.83E-05
649;0.337;7.78E-05
650;0.34;7.73E-05
651;0.3462;7.68E-05
652;0.3524;7.64E-05
653;0.3586;7.59E-05
654;0.3648;7.54E-05
655;0.371;7.49E-05
656;0.3788;7.45E-05
657;0.3866;7.40E-05
658;0.3944;7.35E-05
659;0.4022;7.31E-05
660;0.41;7.26E-05
661;0.4138;7.22E-05
662;0.4176;7.17E-05
663;0.4214;7.13E-05
664;0.4252;7.08E-05
665;0.429;7.04E-05
666;0.431;7.00E-05
667;0.433;6.95E-05
668;0.435;6.91E-05
669;0.437;6.87E-05
670;0.439;6.82E-05
671;0.4408;6.78E-05
672;0.4426;6.74E-05
673;0.4444;6.70E-05
674;0.4462;6.66E-05
675;0.448;6.62E-05
676;0.4514;6.58E-05
677;0.4548;6.54E-05
678;0.4582;6.50E-05
679;0.4616;6.46E-05
680;0.465;6.42E-05
681;0.4692;6.38E-05
682;0.4734;6.34E-05
683;0.4776;6.30E-05
684;0.4818;6.27E-05
685;0.486;6.23E-05
686;0.492;6.19E-05
687;0.498;6.15E-05
688;0.504;6.12E-05
689;0.51;6.08E-05
690;0.516;6.05E-05
691;0.5246;6.01E-05
692;0.5332;5.97E-05
693;0.5418;5.94E-05
694;0.5504;5.90E-05
695;0.559;5.87E-05
696;0.572;5.83E-05
697;0.585;5.80E-05
698;0.598;5.77E-05
699;0.611;5.73E-05
700;0.624;5.70E-05
701;0.64;5.66E-05
702;0.656;5.63E-05
703;0.672;5.60E-05
704;0.688;5.57E-05
705;0.704;5.53E-05
706;0.7286;5.50E-05
707;0.7532;5.47E-05
708;0.7778;5.44E-05
709;0.8024;5.41E-05
710;0.827;5.37E-05
711;0.863;5.34E-05
712;0.899;5.31E-05
713;0.935;5.28E-05
714;0.971;5.25E-05
715;1.007;5.22E-05
716;1.0518;5.19E-05
717;1.0966;5.16E-05
718;1.1414;5.13E-05
719;1.1862;5.10E-05
720;1.231;5.07E-05
721;1.2826;5.04E-05
722;1.3342;5.02E-05
723;1.3858;4.99E-05
724;1.4374;4.96E-05
725;1.548;4.93E-05
726;1.652;4.90E-05
727;1.756;4.88E-05
728;1.86;4.85E-05
729;1.964;4.82E-05
730;2.068;4.79E-05
731;2.172;4.77E-05
732;2.276;4.74E-05
733;2.38;4.71E-05
734;2.4136;4.69E-05
735;2.4472;4.66E-05
736;2.4808;4.64E-05
737;2.5144;4.61E-05
738;2.548;4.58E-05
739;2.5816;4.56E-05
740;2.6152;4.53E-05
741;2.6488;4.51E-05
742;2.6824;4.48E-05
743;2.716;4.46E-05
744;2.7308;4.43E-05
745;2.7456;4.41E-05
746;2.7604;4.39E-05
747;2.7752;4.36E-05
748;2.79;4.34E-05
749;2.785;4.31E-05
750;2.78;4.29E-05
751;2.775;4.27E-05
752;2.77;4.24E-05
753;2.765;4.22E-05
754;2.7484;4.20E-05
755;2.7318;4.17E-05
756;2.7152;4.15E-05
757;2.6986;4.13E-05
758;2.682;4.11E-05
759;2.6628;4.08E-05
760;2.6436;4.06E-05
761;2.6244;4.04E-05
762;2.6052;4.02E-05
763;2.586;4.00E-05
764;2.5672;3.98E-05
765;2.5484;3.95E-05
766;2.5296;3.93E-05
767;2.5108;3.91E-05
768;2.492;3.89E-05
769;2.4746;3.87E-05
770;2.4572;3.85E-05
771;2.4398;3.83E-05
772;2.4224;3.81E-05
773;2.405;3.79E-05
774;2.3874;3.77E-05
775;2.3698;3.75E-05
776;2.3522;3.73E-05
777;2.3346;3.71E-05
778;2.317;3.69E-05
779;2.3012;3.67E-05
780;2.2854;3.65E-05
781;2.2696;3.63E-05
782;2.2538;3.61E-05
783;2.238;3.59E-05
784;2.2228;3.58E-05
785;2.2076;3.56E-05
786;2.1924;3.54E-05
787;2.1772;3.52E-05
788;2.162;3.50E-05
789;2.1472;3.48E-05
790;2.1324;3.47E-05
791;2.1176;3.45E-05
792;2.1028;3.43E-05
793;2.088;3.41E-05
794;2.0754;3.39E-05
795;2.0628;3.38E-05
796;2.0502;3.36E-05
797;2.0376;3.34E-05
798;2.025;3.33E-05
799;2.0126;3.31E-05
800;2.0002;3.29E-05
801;1.9878;3.27E-05
802;1.9754;3.26E-05
803;1.963;3.24E-05
804;1.9558;3.22E-05
805;1.9486;3.21E-05
806;1.9414;3.19E-05
807;1.9342;3.18E-05
808;1.927;3.16E-05
809;1.9282;3.14E-05
810;1.9294;3.13E-05
811;1.9306;3.11E-05
812;1.9318;3.10E-05
